variable_name,source_id,source_name,source_geography,reference_period,variable_label,predictor_domain,field_role,model_eligibility,preferred_transform,denominator_variable,missingness_rule,suppression_rule,outcome_overlap_risk,target_leakage_risk,collinearity_group,interpretation_note,review_status
sa2_code_2021,SRC001,SA2 2021 geography spine,SA2,2021,"SA2 code, 2021 ASGS Edition 3",geography,identifier,exclude_from_models,none,,must_not_be_missing,not_applicable,low,low,geography_identifier,Primary row identifier. Not a predictor.,draft
sa2_name_2021,SRC001,SA2 2021 geography spine,SA2,2021,"SA2 name, 2021 ASGS Edition 3",geography,identifier,exclude_from_models,none,,must_not_be_missing,not_applicable,low,low,geography_identifier,Descriptive geography label. Not a predictor.,draft
sa3_code_2021,SRC001,SA2 2021 geography spine,SA2,2021,"SA3 code, 2021 ASGS Edition 3",geography,cluster_key,use_for_grouped_splitting_and_multilevel_structure,categorical_grouping_key,,must_not_be_missing,not_applicable,low,medium,geography_cluster,Required cluster key because SA3-level predictors will be repeated onto SA2 rows.,draft
sa3_name_2021,SRC001,SA2 2021 geography spine,SA2,2021,"SA3 name, 2021 ASGS Edition 3",geography,identifier,exclude_from_models,none,,must_not_be_missing,not_applicable,low,low,geography_identifier,Descriptive cluster label. Not a predictor.,draft
state_code_2021,SRC001,SA2 2021 geography spine,SA2,2021,State or territory code,jurisdictional context,cluster_key,use_as_fixed_effect_or_grouping_context_if_required,categorical,,must_not_be_missing,not_applicable,medium,medium,jurisdiction,Jurisdictional context. Use carefully because it may absorb state-level policy and measurement differences.,draft
state_name_2021,SRC001,SA2 2021 geography spine,SA2,2021,State or territory name,jurisdictional context,identifier,exclude_from_models_unless_recoded,categorical_if_used,,must_not_be_missing,not_applicable,medium,medium,jurisdiction,Descriptive jurisdiction label.,draft
nsmhw_any_12m_disorder_estimated_pct,SRC002,NSMHW modelled mental-health prevalence,SA2,2020-2022,Modelled estimated percentage with any 12-month mental disorder,outcome,outcome,primary_outcome,continuous_untransformed_then_check_distribution,,do_not_impute,follow_abs_reliability_and_suppression_flags,not_applicable,not_applicable,outcome,"Primary dependent variable. ABS modelled small-area estimate, not observed diagnosis or service-contact count.",draft
nsmhw_severe_12m_disorder_estimated_pct,SRC002,NSMHW modelled mental-health prevalence,SA2,2020-2022,Modelled estimated percentage with severe 12-month mental disorder,outcome,outcome,secondary_sensitivity_outcome,continuous_untransformed_then_check_distribution,,do_not_impute,follow_abs_reliability_and_suppression_flags,not_applicable,not_applicable,outcome,"Secondary dependent variable. ABS modelled small-area estimate, not observed diagnosis or service-contact count.",draft
nsmhw_outcome_reliability_flag,SRC002,NSMHW modelled mental-health prevalence,SA2,2020-2022,Outcome reliability or quality flag,outcome quality,quality_or_reliability_context,exclude_from_predictor_set_use_for_sensitivity,categorical,,must_review,follow_abs_rules,not_applicable,high,outcome_quality,"Use for inclusion, reliability review and sensitivity analysis. Do not use as a predictor.",placeholder_pending_actual_source_columns
seifa_irsd_score,SRC004,SEIFA 2021,SA2,2021,Index of Relative Socio-economic Disadvantage score,socioeconomic disadvantage,candidate_predictor,eligible_after_overlap_review,standardise_within_training_fold,,missingness_indicator_plus_training_fold_imputation_if_numeric,follow_abs_seifa_rules,high,medium,seifa_socioeconomic_disadvantage,Composite socioeconomic index. Likely overlaps with Census predictors and may overlap with ABS modelled outcome inputs.,placeholder_pending_actual_source_columns
seifa_irsd_decile,SRC004,SEIFA 2021,SA2,2021,Index of Relative Socio-economic Disadvantage decile,socioeconomic disadvantage,candidate_predictor,eligible_after_overlap_review_but_do_not_use_with_score_in_same_interpretable_model_without_reason,ordinal_or_categorical_sensitivity,,explicit_missing_category_if_categorical,follow_abs_seifa_rules,high,medium,seifa_socioeconomic_disadvantage,"Derived from SEIFA score. Avoid duplicating score, rank and decile in the same interpretable regression model.",placeholder_pending_actual_source_columns
remoteness_area_2021,SRC005,ASGS Remoteness 2021,SA2,2021,Remoteness Area category,remoteness,candidate_predictor,eligible_after_geography_validation,categorical_or_ordered_sensitivity,,explicit_missing_category_if_categorical,not_applicable,medium,low,remoteness,Area remoteness context. Do not interpret as causal effect.,placeholder_pending_actual_source_columns
aihw_mh_medicare_patients_rate,SRC006,AIHW Regional Profiles mental-health service activity,SA3,2021-22,Medicare mental-health patients rate,mental health service activity,candidate_predictor,eligible_after_sa3_join_validation,standardise_within_training_fold,,missingness_indicator_plus_training_fold_imputation_if_numeric,suppressed_or_unpublished_values_require_explicit_handling,medium,medium,aihw_medicare_service_activity,SA3-level service-activity indicator repeated onto SA2 rows. Not a direct SA2 access or adequacy measure.,placeholder_pending_actual_source_columns
aihw_mh_ed_presentations_rate,SRC006,AIHW Regional Profiles mental-health service activity,SA3,2021-22,Mental health-related emergency department presentations rate,mental health service activity,candidate_predictor,eligible_after_sa3_join_validation,standardise_within_training_fold,,missingness_indicator_plus_training_fold_imputation_if_numeric,suppressed_or_unpublished_values_require_explicit_handling,medium,medium,aihw_ed_service_activity,SA3-level service-activity indicator repeated onto SA2 rows. Not a direct SA2 access or adequacy measure.,placeholder_pending_actual_source_columns
