"run_timestamp","mode","source_path","source_exists_at_start","path_type","level","priority","recommendation","rationale","destination_path","action_status","size_mb"
"20260622_125623","DRY_RUN","outputs\logs\16_acquire_join_dss_sa2_social_security_20260621_121148.log","True","file","archive_now","low","archive","Older log for script/run family '16_acquire_join_dss_sa2_social_security'. Keep latest log active, archive older logs.","outputs\archive\old_logs_pre_freeze\16_acquire_join_dss_sa2_social_security_20260621_121148.log","dry_run_planned","0.015166"
"20260622_125623","DRY_RUN","outputs\logs\16_acquire_join_dss_sa2_social_security_20260621_120651.log","True","file","archive_now","low","archive","Older log for script/run family '16_acquire_join_dss_sa2_social_security'. Keep latest log active, archive older logs.","outputs\archive\old_logs_pre_freeze\16_acquire_join_dss_sa2_social_security_20260621_120651.log","dry_run_planned","0.015087"
"20260622_125623","DRY_RUN","outputs\logs\16_acquire_join_dss_sa2_social_security_20260621_115806.log","True","file","archive_now","low","archive","Older log for script/run family '16_acquire_join_dss_sa2_social_security'. Keep latest log active, archive older logs.","outputs\archive\old_logs_pre_freeze\16_acquire_join_dss_sa2_social_security_20260621_115806.log","dry_run_planned","0.003264"
"20260622_125623","DRY_RUN","outputs\logs\17_acquire_join_housing_affordability_context_20260621_132209.log","True","file","archive_now","low","archive","Older log for script/run family '17_acquire_join_housing_affordability_context'. Keep latest log active, archive older logs.","outputs\archive\old_logs_pre_freeze\17_acquire_join_housing_affordability_context_20260621_132209.log","dry_run_planned","0.001301"
"20260622_125623","DRY_RUN","outputs\logs\19_inventory_phidu_social_health_atlas_20260621_135020.log","True","file","archive_now","low","archive","Older log for script/run family '19_inventory_phidu_social_health_atlas'. Keep latest log active, archive older logs.","outputs\archive\old_logs_pre_freeze\19_inventory_phidu_social_health_atlas_20260621_135020.log","dry_run_planned","0.005142"
"20260622_125623","DRY_RUN","outputs\logs\24_acquire_remaining_raw_source_register_20260622_104740.log","True","file","archive_now","low","archive","Older log for script/run family '24_acquire_remaining_raw_source_register'. Keep latest log active, archive older logs.","outputs\archive\old_logs_pre_freeze\24_acquire_remaining_raw_source_register_20260622_104740.log","dry_run_planned","0.005156"
"20260622_125623","DRY_RUN","outputs\logs\25_validate_remaining_raw_source_inventory_20260622_114714.log","True","file","archive_now","low","archive","Older log for script/run family '25_validate_remaining_raw_source_inventory'. Keep latest log active, archive older logs.","outputs\archive\old_logs_pre_freeze\25_validate_remaining_raw_source_inventory_20260622_114714.log","dry_run_planned","0.0059"
"20260622_125623","DRY_RUN","outputs\logs\25_validate_remaining_raw_source_inventory_20260622_105459.log","True","file","archive_now","low","archive","Older log for script/run family '25_validate_remaining_raw_source_inventory'. Keep latest log active, archive older logs.","outputs\archive\old_logs_pre_freeze\25_validate_remaining_raw_source_inventory_20260622_105459.log","dry_run_planned","0.0059"
"20260622_125623","DRY_RUN","outputs\audits\raw_abs_audit_run_summary_v18_20260622_121947.csv","True","file","archive_now_after_latest_confirmed","low","archive","Older timestamped audit output for 'raw_abs_audit_run_summary_v18'. Keep latest active, archive prior runs.","outputs\archive\audit_history_pre_freeze\raw_abs_audit_run_summary_v18_20260622_121947.csv","dry_run_planned","0.000406"
"20260622_125623","DRY_RUN","outputs\audits\raw_abs_audit_run_summary_v18_20260622_115637.csv","True","file","archive_now_after_latest_confirmed","low","archive","Older timestamped audit output for 'raw_abs_audit_run_summary_v18'. Keep latest active, archive prior runs.","outputs\archive\audit_history_pre_freeze\raw_abs_audit_run_summary_v18_20260622_115637.csv","dry_run_planned","0.000406"
"20260622_125623","DRY_RUN","outputs\audits\raw_abs_cleanup_candidate_audit_v18_20260622_121947.csv","True","file","archive_now_after_latest_confirmed","low","archive","Older timestamped audit output for 'raw_abs_cleanup_candidate_audit_v18'. Keep latest active, archive prior runs.","outputs\archive\audit_history_pre_freeze\raw_abs_cleanup_candidate_audit_v18_20260622_121947.csv","dry_run_planned","0.803375"
"20260622_125623","DRY_RUN","outputs\audits\raw_abs_cleanup_candidate_audit_v18_20260622_115637.csv","True","file","archive_now_after_latest_confirmed","low","archive","Older timestamped audit output for 'raw_abs_cleanup_candidate_audit_v18'. Keep latest active, archive prior runs.","outputs\archive\audit_history_pre_freeze\raw_abs_cleanup_candidate_audit_v18_20260622_115637.csv","dry_run_planned","0.687973"
"20260622_125623","DRY_RUN","outputs\audits\raw_abs_cleanup_plan_v19_20260622_121918.csv","True","file","archive_now_after_latest_confirmed","low","archive","Older timestamped audit output for 'raw_abs_cleanup_plan_v19'. Keep latest active, archive prior runs.","outputs\archive\audit_history_pre_freeze\raw_abs_cleanup_plan_v19_20260622_121918.csv","dry_run_planned","0.044232"
"20260622_125623","DRY_RUN","outputs\audits\raw_abs_cleanup_plan_v19_20260622_121912.csv","True","file","archive_now_after_latest_confirmed","low","archive","Older timestamped audit output for 'raw_abs_cleanup_plan_v19'. Keep latest active, archive prior runs.","outputs\archive\audit_history_pre_freeze\raw_abs_cleanup_plan_v19_20260622_121912.csv","dry_run_planned","0.044194"
"20260622_125623","DRY_RUN","outputs\audits\raw_abs_cleanup_summary_v19_20260622_121918.csv","True","file","archive_now_after_latest_confirmed","low","archive","Older timestamped audit output for 'raw_abs_cleanup_summary_v19'. Keep latest active, archive prior runs.","outputs\archive\audit_history_pre_freeze\raw_abs_cleanup_summary_v19_20260622_121918.csv","dry_run_planned","0.000179"
