source_id,source_name,publisher,dataset_or_product_name,source_url_or_access_path,predictor_domain,candidate_variables,reference_period,desired_reference_period,temporal_alignment_status,native_geography_level,required_join_geography,bridge_or_correspondence_required,proposed_join_method,weight_or_allocation_method,suppression_or_missingness_rule,candidate_predictor_status,outcome_overlap_risk,target_leakage_risk,interpretation_limit,download_status,integration_status,validation_status,notes
SRC001,SA2 2021 geography spine,ABS,ASGS Edition 3 SA2 geography,,geography,SA2 code; SA2 name; SA3 code; SA3 name; state/territory code; state/territory name,2021,2021,aligned,SA2,SA2,no,direct spine,not applicable,not applicable,integrate_now,low,low,Geographic spine only.,not_started,not_started,not_started,First build component.
SRC002,NSMHW modelled mental-health prevalence,ABS,National Study of Mental Health and Wellbeing 2020-2022,,outcome,nsmhw_any_12m_disorder_estimated_pct; nsmhw_severe_12m_disorder_estimated_pct,2020-2022,2020-2022,aligned if SA2 estimates available,SA2,SA2,no,direct join by SA2,not applicable,ABS reliability/suppression rules required,integrate_now,high,high,"ABS modelled estimates, not observed counts.",not_started,not_started,not_started,Primary and secondary outcome source.
SRC003,Census 2021 SA2 predictors,ABS,Census 2021 data packs or TableBuilder exports,,demographic; socioeconomic; housing; language; ancestry; disability; caring,Census demographic; socioeconomic; language; ancestry; country of birth; housing; disability; caring variables,2021,2021,aligned,SA2,SA2,no,direct join by SA2,not applicable,Census non-response and small-cell handling required,integrate_now,high,medium,May overlap with ABS small-area model covariates.,not_started,not_started,not_started,Core SA2 predictor source.
SRC004,SEIFA 2021,ABS,Socio-Economic Indexes for Areas 2021,,socioeconomic disadvantage,IRSD; IRSAD; IER; IEO; rankings; deciles; percentiles,2021,2021,aligned,SA2,SA2,no,direct join by SA2,not applicable,ABS availability rules,integrate_now,high,medium,Composite socioeconomic indexes may overlap with outcome model inputs.,not_started,not_started,not_started,Core disadvantage domain.
SRC005,ASGS Remoteness 2021,ABS,ASGS Remoteness Structure,,remoteness,Remoteness Area category; ordinal remoteness representation if defensible,2021,2021,aligned,SA2,SA2,no,direct join or correspondence,not applicable,not applicable,integrate_now,medium,low,"Area remoteness context, not causal effect.",not_started,not_started,not_started,Core geography context.
SRC006,AIHW Regional Profiles mental-health service activity,AIHW,Regional profiles of mental health service activity,,mental health service activity,Medicare; PBS; ED; hospital; admitted patient; community mental health service activity rates,2021-22,2021-22,check release tables,SA3 and PHN,SA3,yes,join SA3 indicators to SA2 through sa3_code_2021,not applicable,suppression and publication flags required,integrate_after_geography_check,medium,medium,"Service activity, not access adequacy or community-managed psychosocial support availability.",not_started,not_started,not_started,Higher-level service context.
SRC007,DSS payments by SA2,DSS,DSS payments by Statistical Area 2,,social security,JobSeeker; Youth Allowance; Disability Support Pension; Carer Payment; Parenting Payment; Age Pension; Family Tax Benefit; Commonwealth Rent Assistance,2021-22,2021-22,check quarterly period,SA2,SA2,no,direct join by SA2,not applicable,suppression and small-cell rules required,integrate_after_period_check,medium,medium,Area-level social-security context only.,not_started,not_started,not_started,High-priority social context.
SRC008,ABS Personal Income,ABS,Personal Income in Australia or Data by Region,,income,median income; mean income; income earners; income source measures,2021-22,2021-22,check geography and period,SA2 or SA3,SA2 or SA3,maybe,direct or SA3 repeat depending native geography,not applicable,ABS confidentiality rules,integrate_after_period_check,medium,medium,Income context may overlap with SEIFA and Census income.,not_started,not_started,not_started,Collinearity expected.
SRC009,ABS Jobs in Australia,ABS,Jobs in Australia,,labour market,jobs; job holders; industry; employment structure,2021-22,2021-22,check geography and period,SA2,SA2,no,direct join by SA2,not applicable,ABS confidentiality rules,integrate_after_period_check,medium,medium,"Labour-market context, not individual employment risk.",not_started,not_started,not_started,Potential high collinearity with Census labour variables.
SRC010,NDIS participant and market data,NDIA,NDIS quarterly reports and data downloads,,disability; psychosocial support,participant counts; psychosocial indicators; plan utilisation; provider market indicators,2021-22,2021-22,check geography and psychosocial availability,SA2; SA3; LGA; or service district uncertain,documented geography required,yes,depends on native geography,document required,suppression required,integrate_after_geography_check,medium,medium,NDIS data does not capture full psychosocial support system.,not_started,not_started,not_started,Investigate before integration.
SRC011,PHIDU Social Health Atlas,PHIDU,Social Health Atlas,,health; welfare; service context,health status; disability; caring; welfare; service indicators,closest to 2021-22,2021-22,check period and geography,SA2-compatible; PHA; SA3; LGA; PHN,documented geography required,yes,do not treat PHA as native SA2 unless documented,document required,PHIDU suppression rules,integrate_after_geography_check,medium,medium,Population Health Area alignment must be documented.,not_started,not_started,not_started,Useful but geography-sensitive.
SRC012,AIHW Housing Assistance,AIHW,Housing Assistance in Australia,,housing assistance,social housing; CRA; housing assistance indicators,closest to 2021-22,2021-22,check period and geography,SA2; LGA; state uncertain,documented geography required,yes,depends on geography,document required,suppression required,retain_for_later_sensitivity_analysis,medium,medium,"Housing assistance, not full housing need.",not_started,not_started,not_started,Use only if geography and period defensible.
SRC013,AIHW Specialist Homelessness Services,AIHW,Specialist Homelessness Services Collection outputs,,homelessness,clients; requests; unmet need; outcomes,closest to 2021-22,2021-22,check public geography,LGA; SA3; PHN; or state uncertain,documented geography required,yes,depends on geography,document required,suppression required,retain_for_later_sensitivity_analysis,medium,medium,"SHS service use, not total homelessness prevalence.",not_started,not_started,not_started,May be hard to align nationally.
SRC014,Australian Early Development Census,AEDC,AEDC 2021 community data,,child and family developmental context,developmental vulnerability; social competence; emotional maturity,2021,2021,aligned if geography suitable,community geography uncertain,documented geography required,yes,depends on AEDC geography,document required,suppression required,retain_for_later_sensitivity_analysis,medium,medium,"Child-development context only, not direct population-wide mental-health determinant.",not_started,not_started,not_started,Optional domain.
SRC015,SA2 to SA3 correspondence,ABS,ASGS Edition 3 correspondences,,geography bridge,SA2 to SA3 bridge and weights,2021,2021,aligned,SA2 and SA3,SA3,yes,official correspondence,ABS weight if available,not applicable,integrate_now,low,low,Bridge infrastructure.,not_started,not_started,not_started,Required for AIHW SA3 joins.
SRC016,SA2 to PHN correspondence,ABS or Department of Health,ASGS/non-ABS structure correspondence,,geography bridge,SA2 to PHN bridge and weights,2021,2021,check available period,SA2 and PHN,PHN,yes,official correspondence or documented allocation,population or area weight where available,not applicable,integrate_after_geography_check,low,low,Bridge infrastructure.,not_started,not_started,not_started,Required before PHN predictors.
SRC017,SA2 to LGA correspondence,ABS,ASGS Edition 3 correspondences,,geography bridge,SA2 to LGA bridge and weights,2021,2021,aligned,SA2 and LGA,LGA,yes,official correspondence,ABS weight where available,not applicable,integrate_after_geography_check,low,low,Bridge infrastructure.,not_started,not_started,not_started,Required before LGA predictors.
SRC018,SA2 to LHD correspondence,state health departments,state health geography correspondence,,geography bridge,SA2 to LHD or equivalent mapping,closest available,2021-22,check state by state,LHD or equivalent,LHD,yes,state-specific documented allocation,population or area weight where available,not applicable,integrate_after_geography_check,low,low,Not nationally standard without checking.,not_started,not_started,not_started,Do later.
